
[Name]
Default Boundary

[Data]
Node Number, X [ m ], Y [ m ], Z [ m ], Connectivity Number, Von Mises Stress [ Pa ]
183, -4.00000019e-003, 0.00000000e+000, -9.99999978e-003, 2.00000000e+000, 2.12812672e+008
184, -6.00000005e-003, 0.00000000e+000, -9.99999978e-003, 3.00000000e+000, 2.74610112e+008
185, -5.25266537e-003, 2.86543602e-003, -9.99777671e-003, 1.50000000e+001, 2.34453312e+008
186, -3.00000026e-003, 0.00000000e+000, -7.49999983e-003, 1.30000000e+001, 9.34649760e+007
187, -2.00000009e-003, 0.00000000e+000, -9.99999978e-003, 4.00000000e+000, 8.88702400e+007
188, 9.99999978e-003, 0.00000000e+000, -6.00000005e-003, 2.00000000e+000, 5.16234912e+008
189, 1.00051919e-002, 2.85495189e-003, -5.25595946e-003, 1.70000000e+001, 4.80968736e+008
190, 9.99999978e-003, 0.00000000e+000, -4.00000019e-003, 2.00000000e+000, 5.21610912e+008
191, -9.99999978e-003, 0.00000000e+000, 6.00000005e-003, 2.00000000e+000, 5.14000192e+008
192, -9.99480207e-003, 2.86920485e-003, 5.25293872e-003, 1.50000000e+001, 4.79192320e+008
193, -2.00000009e-003, 0.00000000e+000, 9.99999978e-003, 4.00000000e+000, 8.81805920e+007
194, 0.00000000e+000, 0.00000000e+000, 9.99999978e-003, 2.00000000e+000, 1.78589300e+007
195, 4.46822058e-004, 2.91180727e-003, 1.00001851e-002, 1.30000000e+001, 6.49420080e+007
196, 1.50352687e-004, 0.00000000e+000, -6.40074583e-003, 1.10000000e+001, 4.17231920e+007
197, 2.00000009e-003, 0.00000000e+000, -9.99999978e-003, 6.00000000e+000, 8.20793440e+007
198, -1.09526946e-003, 0.00000000e+000, -3.46477074e-003, 9.00000000e+000, 5.78546880e+007
199, -1.49750826e-003, 0.00000000e+000, 5.17109642e-003, 1.00000000e+001, 5.69067080e+007
200, 1.29447362e-004, 0.00000000e+000, 2.79023172e-003, 9.00000000e+000, 5.36147640e+007
201, 3.00000003e-003, 0.00000000e+000, 1.75000005e-003, 1.50000000e+001, 8.73069200e+007
202, -3.28586926e-003, 3.24825034e-003, 9.99857392e-003, 1.00000000e+001, 1.44662864e+008
203, 0.00000000e+000, 0.00000000e+000, -9.99999978e-003, 2.00000000e+000, 1.48522160e+007
204, -3.43103253e-004, 3.26522603e-003, -9.99984425e-003, 1.70000000e+001, 7.56112320e+007
205, -9.99386702e-003, 3.27298627e-003, 3.44723812e-004, 1.70000000e+001, 4.50890816e+008
206, 3.31072579e-003, 3.29232379e-003, -1.00014536e-002, 1.00000000e+001, 1.48651600e+008
207, 5.25621651e-003, 2.85873911e-003, 1.00022284e-002, 1.50000000e+001, 2.30326496e+008
